Pueblo,Cod_CCAA,Población,Hombres,Mujeres,Españoles,Extranjeros,Area,Longuitud,menores,edad_laboral,jubilados,porcentaje_hombres,porcentaje_mujeres,porcenjate_españoles,poetentaje_extranjeros
Alegría-Dulantzi,16,2913.0,1512.0,1401.0,2653.0,260.0,37092694.3803711,48191.5687507891,633.0,1805.0,265.0,51.905252317198766,48.094747682801234,91.07449364915894,8.925506350841058
Amurrio,16,10291.0,5101.0,5190.0,9684.0,607.0,179911448.023315,90623.6217726267,1327.0,6253.0,1798.0,49.567583325235645,50.432416674764355,94.10164221164125,5.89835778835876
Aramaio,16,1496.0,791.0,705.0,1475.0,21.0,137706565.232788,58592.9152521766,259.0,860.0,259.0,52.87433155080213,47.12566844919786,98.59625668449198,1.4037433155080214
Artziniega,16,1829.0,914.0,915.0,1760.0,69.0,51300778.0618896,31498.5235735303,292.0,1114.0,233.0,49.97266265718972,50.02733734281028,96.22744669218152,3.77255330781848
Armiñón,16,239.0,128.0,111.0,224.0,15.0,23802884.9614258,33293.8051314875,40.0,157.0,25.0,53.55648535564853,46.44351464435147,93.72384937238493,6.2761506276150625
Arratzua-Ubarrundia,16,976.0,528.0,448.0,951.0,25.0,107422965.777832,89972.9346568566,163.0,601.0,151.0,54.09836065573771,45.90163934426229,97.43852459016394,2.5614754098360657
Asparrena,16,1640.0,823.0,817.0,1539.0,101.0,118008144.299561,70669.9683627182,236.0,1018.0,244.0,50.18292682926829,49.81707317073171,93.84146341463413,6.158536585365853
Ayala/Aiara,16,2969.0,1508.0,1461.0,2925.0,44.0,264340322.000244,88663.1906048576,517.0,1803.0,382.0,50.79151229370158,49.20848770629841,98.51801953519703,1.481980464802964
Baños de Ebro/Mañueta,16,306.0,167.0,139.0,266.0,40.0,17206801.4051514,24650.5913499016,38.0,178.0,67.0,54.57516339869281,45.42483660130719,86.9281045751634,13.071895424836603
Barrundia,16,898.0,502.0,396.0,860.0,38.0,182865233.657959,80734.486695226,141.0,552.0,140.0,55.90200445434298,44.097995545657014,95.7683741648107,4.231625835189309
Berantevilla,16,443.0,236.0,207.0,423.0,20.0,66683914.6107178,52853.5387181633,50.0,244.0,119.0,53.27313769751692,46.72686230248307,95.48532731376976,4.514672686230249
Bernedo,16,504.0,299.0,205.0,475.0,29.0,242393761.949707,117556.984722387,57.0,292.0,110.0,59.32539682539682,40.67460317460318,94.24603174603175,5.753968253968254
Campezo/Kanpezu,16,1048.0,556.0,492.0,988.0,60.0,157734528.150513,71370.0562094473,132.0,615.0,216.0,53.05343511450382,46.94656488549619,94.27480916030534,5.7251908396946565
Zigoitia,16,1766.0,960.0,806.0,1728.0,38.0,190689591.034546,66723.0457553177,272.0,1115.0,257.0,54.36013590033974,45.63986409966025,97.84824462061155,2.1517553793884483
Kripan,16,184.0,98.0,86.0,180.0,4.0,23011611.2879639,22267.6970472027,32.0,100.0,41.0,53.2608695652174,46.73913043478261,97.82608695652173,2.1739130434782608
Elburgo/Burgelu,16,607.0,319.0,288.0,581.0,26.0,58413461.4197998,82503.2328131241,97.0,407.0,61.0,52.55354200988468,47.44645799011532,95.71663920922569,4.2833607907743
Elciego,16,1030.0,514.0,516.0,946.0,84.0,29992060.4100342,29558.8090946258,150.0,595.0,202.0,49.90291262135923,50.09708737864078,91.84466019417475,8.155339805825243
Elvillar/Bilar,16,353.0,173.0,180.0,309.0,44.0,32204126.9266357,30286.9684281893,53.0,202.0,67.0,49.008498583569406,50.991501416430594,87.53541076487252,12.464589235127479
Iruraiz-Gauna,16,530.0,289.0,241.0,513.0,17.0,87194894.6077881,114753.554339001,80.0,345.0,71.0,54.52830188679245,45.47169811320755,96.79245283018868,3.207547169811321
Labastida/Bastida,16,1454.0,762.0,692.0,1306.0,148.0,70850387.3392334,48359.731260737,246.0,861.0,239.0,52.40715268225584,47.59284731774415,89.82118294360384,10.178817056396149
Lagrán,16,166.0,92.0,74.0,165.0,1.0,89520962.2371826,58787.1577008622,8.0,91.0,49.0,55.42168674698795,44.57831325301205,99.3975903614458,0.6024096385542169
Laguardia,16,1474.0,763.0,711.0,1352.0,122.0,148369417.789795,119147.907969117,182.0,920.0,255.0,51.76390773405699,48.236092265943014,91.72320217096338,8.276797829036635
Lanciego/Lantziego,16,673.0,345.0,328.0,587.0,86.0,44584271.2518311,36774.7986367253,91.0,378.0,135.0,51.2630014858841,48.736998514115896,87.22139673105498,12.778603268945021
Lapuebla de Labarca,16,859.0,448.0,411.0,771.0,88.0,10959950.4561768,16735.2607436848,121.0,515.0,146.0,52.15366705471478,47.84633294528521,89.75552968568103,10.244470314318974
Leza,16,203.0,100.0,103.0,178.0,25.0,17913393.8140869,23028.1755469184,25.0,109.0,44.0,49.26108374384236,50.73891625615764,87.68472906403942,12.31527093596059
Laudio/Llodio,16,18133.0,8965.0,9168.0,17355.0,778.0,70349200.8509521,37884.403475596,2254.0,10683.0,3880.0,49.440247063365135,50.55975293663486,95.70947995367561,4.290520046324381
Arraia-Maeztu,16,725.0,404.0,321.0,685.0,40.0,227871650.579468,82782.1583818794,88.0,424.0,140.0,55.72413793103448,44.275862068965516,94.48275862068965,5.517241379310345
Moreda de Álava/Moreda Araba,16,230.0,115.0,115.0,216.0,14.0,16183707.9893799,16818.8585661347,19.0,146.0,42.0,50.0,50.0,93.91304347826087,6.086956521739131
Navaridas,16,226.0,132.0,94.0,175.0,51.0,16570925.7728271,16391.7528931103,28.0,153.0,32.0,58.4070796460177,41.5929203539823,77.43362831858407,22.566371681415927
Okondo,16,1155.0,600.0,555.0,1103.0,52.0,57443600.3828125,48032.7465722322,167.0,737.0,152.0,51.94805194805194,48.05194805194805,95.4978354978355,4.5021645021645025
Oyón-Oion,16,3338.0,1693.0,1645.0,2995.0,343.0,83114292.5828857,57838.5950261764,651.0,1965.0,425.0,50.71899340922709,49.28100659077292,89.72438585979629,10.275614140203714
Erriberagoitia/Ribera Alta,16,736.0,420.0,316.0,711.0,25.0,222726030.474365,114217.030697307,110.0,460.0,115.0,57.065217391304344,42.934782608695656,96.60326086956522,3.3967391304347823
Ribera Baja/Erribera Beitia,16,1375.0,748.0,627.0,1236.0,139.0,47067025.0131836,42082.1120440055,271.0,862.0,136.0,54.400000000000006,45.6,89.89090909090909,10.10909090909091
Añana,16,156.0,89.0,67.0,151.0,5.0,40306810.6470947,29416.2703912319,10.0,100.0,30.0,57.05128205128205,42.94871794871795,96.7948717948718,3.205128205128205
Salvatierra/Agurain,16,5025.0,2502.0,2523.0,4479.0,546.0,70426090.1112061,51730.5488226241,808.0,3099.0,620.0,49.791044776119406,50.2089552238806,89.13432835820896,10.865671641791044
Samaniego,16,323.0,163.0,160.0,303.0,20.0,15917589.767334,22381.4960890663,37.0,183.0,64.0,50.464396284829725,49.53560371517028,93.80804953560371,6.191950464396285
San Millán/Donemiliaga,16,709.0,394.0,315.0,693.0,16.0,158417662.770874,150265.39898709,91.0,431.0,116.0,55.57122708039493,44.42877291960507,97.74330042313117,2.2566995768688294
Urkabustaiz,16,1330.0,699.0,631.0,1222.0,108.0,113992453.021362,52090.0860227991,233.0,836.0,139.0,52.55639097744361,47.443609022556394,91.8796992481203,8.1203007518797
Valdegovía/Gaubea,16,996.0,557.0,439.0,918.0,78.0,443525330.053955,143717.730123467,100.0,598.0,234.0,55.92369477911646,44.07630522088353,92.16867469879519,7.83132530120482
Harana/Valle de Arana,16,232.0,132.0,100.0,230.0,2.0,70919294.8565674,52653.1420528267,14.0,120.0,68.0,56.896551724137936,43.103448275862064,99.13793103448276,0.8620689655172413
Villabuena de Álava/Eskuernaga,16,300.0,152.0,148.0,267.0,33.0,15642386.5118408,19091.7622027225,30.0,179.0,70.0,50.66666666666667,49.333333333333336,89.0,11.0
